City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,76.33,Rain,-9.8,-139.0333,Villa Enata
5,Kalmunai,LK,78.94,Clouds,7.4167,81.8167,VS Villa
10,Phalaborwa,ZA,81.21,Clear,-23.943,31.1411,Bothabelo Bed and Breakfast
11,Vaini,TO,74.41,Rain,-21.2,-175.2,Keleti Beach Resort
16,Hermanus,ZA,62.8,Clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Portland,US,72.77,Clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
19,Avarua,CK,71.65,Clouds,-21.2078,-159.775,Paradise Inn
20,Warrenton,ZA,82.85,Clouds,-28.114,24.8475,Fish Eagles Call Warrenton
23,Rikitea,PF,71.02,Clouds,-23.1203,-134.9692,People ThankYou
24,Butaritari,KI,82.0,Clouds,3.0707,172.7902,Isles Sunset Lodge
25,Arraial Do Cabo,BR,78.66,Clouds,-22.9661,-42.0278,Pousada Porto Praia
28,Chuy,UY,73.0,Clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
29,Hobyo,SO,78.08,Clouds,5.3505,48.5268,Halane Hotel and Restaurent
31,San Quintin,MX,73.35,Clear,30.4833,-115.95,Don Eddie's Sport Fishing Center
32,Cape Town,ZA,64.09,Clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
36,Salinopolis,BR,85.57,Clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
37,Kawalu,ID,71.83,Rain,-7.3817,108.2082,West Jontor
42,Port Alfred,ZA,66.18,Clouds,-33.5906,26.891,The Halyards Hotel
43,Saint George,US,76.42,Clear,37.1041,-113.5841,Best Western Plus Abbey Inn
44,Kapaa,US,72.1,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Touros,BR,85.28,Clear,-5.1989,-35.4608,INN NEW HORIZON
48,Ghogha,IN,83.55,Clouds,21.6833,72.2833,"GUEST HOUSE,GHOGHA"
49,Victoria,HK,82.18,Clouds,22.2855,114.1577,Mini Central
51,Sinjar,IQ,83.14,Clouds,36.3209,41.8754,زوماني فون 1
54,Ananas,HT,86.0,Clouds,19.2466,-71.9557,
56,Barcelos,PT,77.92,Clear,41.5388,-8.6151,Hotel Do Terço
58,Vaitape,PF,77.97,Clouds,-16.5167,-151.75,Conrad Bora Bora Nui
60,San Joaquin,US,78.37,Clear,37.9333,-121.3011,University Plaza Waterfront Hotel
63,Comodoro Rivadavia,AR,62.46,Clouds,-45.8667,-67.5,Austral Hotel
67,Saint-Philippe,RE,71.19,Clouds,-21.3585,55.7679,Le four à pain
69,Castro,BR,71.08,Clear,-24.7911,-50.0119,CHACARA BAILLY
70,Karema,TZ,78.3,Clear,-6.8205,30.4389,
71,Noumea,NC,75.99,Clouds,-22.2763,166.4572,Hôtel Le Lagon
73,Saint-Pierre,RE,71.91,Clear,-21.3393,55.4781,Alize Plage
74,Molteno,ZA,73.08,Clouds,-31.3968,26.3625,Nadirashaleeta B&B
76,Bambous Virieux,MU,71.85,Clouds,-20.3428,57.7575,Casa Tia Villa
78,Mwense,ZM,81.5,Clouds,-10.3845,28.698,Mwense Council Guest House
79,San Patricio,US,87.69,Clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
81,Puerto Ayora,EC,76.96,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Muroto,JP,66.51,Clouds,33.2833,134.15,Oota Ryokan
84,Kangaba,ML,85.73,Clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
85,Sao Filipe,CV,78.46,Clouds,14.8961,-24.4956,Hotel Xaguate
86,Tevaitoa,PF,77.79,Clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
89,Magdalena,PH,76.48,Clouds,14.1999,121.429,Samparada & Gestiada Residences
90,Kavieng,PG,82.58,Clouds,-2.5744,150.7967,Nusa Island Retreat
91,Georgetown,MY,82.24,Clouds,5.4112,100.3354,Cititel Penang
93,Manta,EC,76.78,Clouds,-0.95,-80.7333,Balandra Hotel
94,Cabo San Lucas,MX,89.91,Clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
97,Banda Aceh,ID,79.11,Clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
98,Dingle,PH,76.28,Clouds,10.9995,122.6711,SEGAYA PROPERTY
99,Ribeira Grande,PT,73.8,Clouds,38.5167,-28.7,Quinta da Meia Eira
101,Souillac,MU,71.98,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Carnarvon,AU,67.51,Clouds,-24.8667,113.6333,Hospitality Carnarvon
107,Port Elizabeth,ZA,68.09,Clear,-33.918,25.5701,39 On Nile Guest House
108,Florida,US,85.78,Clear,28.7505,-82.5001,Sportsmens Cove
109,Vila,PT,68.7,Clear,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
111,Sabang,ID,81.52,Rain,5.8933,95.3214,Hotel Citra
112,Katsuura,JP,67.3,Clouds,35.1333,140.3,Katsuura Hotel Mikazuki
114,Pisco,PE,64.45,Haze,-13.7,-76.2167,Hotel San Isidro Oficial
116,Tamandare,BR,82.76,Clear,-8.7597,-35.1047,Pousada 100 Passos
121,Hithadhoo,MV,81.39,Clouds,-0.6,73.0833,Scoop Guest House
122,Port Hedland,AU,68.05,Clouds,-20.3167,118.5667,The Esplanade Hotel
124,San Cristobal,VE,84.38,Clouds,7.7669,-72.225,Pirineos
126,Tshikapa,CD,71.31,Rain,-6.4167,20.8,Tatem beach
129,Itarema,BR,86.68,Clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
135,Kruisfontein,ZA,65.88,Clouds,-34.0033,24.7314,Oyster Bay House Rental
138,Gizo,SB,81.05,Clouds,-8.103,156.8419,Imagination Island
141,Kasongo-Lunda,CD,75.43,Rain,-6.4667,16.8167,
142,Sambava,MG,71.64,Clouds,-14.2667,50.1667,Melrose
143,Japura,ID,71.87,Clouds,-0.3167,102.35,Rumah mbah Jamah
144,Totness,SR,87.3,Clear,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
146,Kutum,SD,84.61,Clouds,14.2,24.6667,Dibbo areaمنطقة دبو
147,Hilo,US,83.28,Clouds,19.7297,-155.09,Hilo Hawaiian Hotel
150,Bataipora,BR,81.45,Clear,-22.2953,-53.2711,Hotel Vale do Ivinhema
151,Finschhafen,PG,78.76,Clouds,-6.6024,147.8681,Oasis Gagidu Ltd
